ItemSku,SKU,SkuVendorCode,SkuName,Product Type,VendorCode,Country,status,VendorType,SiteName,Plant Type,WarehouseName
BB013-21,BB013-21,BB013-21ELT,Summer Breeze,Mixed,ELT,Colombia,Active,Floral,Summer Breeze,One Time,
BB014-22,BB014-22,BB014-22MULT,Winter Embrace,Mixed,MULT,Ecuador,Inactive,Floral,Winter Embrace,One Time,
2955843031,BB015-24,BB015-24ELT,Rainbow Fields,Bunch,ELT,Colombia,Active,Floral,Rainbow Fields,One Time,
B07RPBTV65,BB015-24,BB015-24ELT,Rainbow Fields,Bunch,ELT,Colombia,Active,Floral,Rainbow Fields,One Time,
BB-RainbowFields,BB015-24,BB015-24ELT,Rainbow Fields,Bunch,ELT,Colombia,Active,Floral,Rainbow Fields,One Time,
BB015-24,BB015-24,BB015-24ELT,Rainbow Fields,Bunch,ELT,Colombia,Active,Floral,Rainbow Fields,One Time,
BB015-24,BB015-24,BB015-24ELT,Rainbow Fields,Bunch,ELT,Colombia,Active,Floral,Rainbow Fields,One Time,
NINTBB015-24,BB015-24,BB015-24ELT,Rainbow Fields,Bunch,ELT,Colombia,Active,Floral,Rainbow Fields,One Time,
BB022-25,BB022-25,BB022-25ELT,Autumn Spice,Mixed,ELT,Colombia,Active,Floral,Autumn Spice,One Time,
BB-SUMMERSUNSHINE,BB023-22,BB023-22ELT,Summer Sunshine,Mixed,ELT,Colombia,Inactive,Floral,Summer Sunshine,One Time,
BB055-24,BB055-24,BB055-24MULT,Hiroshima,Mixed,MULT,Colombia,Active,Floral,Hiroshima,One Time,
5319696290,BB062-25,BB062-25MGF,Tropical Treasure,Tropical,MGF,Ecuador,Active,Floral,Tropical Treasure,One Time,
B07GHV6VKM,BB062-25,BB062-25MGF,Tropical Treasure,Tropical,MGF,Ecuador,Active,Floral,Tropical Treasure,One Time,
BB062-25,BB062-25,BB062-25MGF,Tropical Treasure,Tropical,MGF,Ecuador,Active,Floral,Tropical Treasure,One Time,
fuegobbmf,BB062-25,BB062-25MGF,Tropical Treasure,Tropical,MGF,Ecuador,Active,Floral,Tropical Treasure,One Time,
NINTBB062-25,BB062-25,BB062-25MGF,Tropical Treasure,Tropical,MGF,Ecuador,Active,Floral,Tropical Treasure,One Time,
T-MF-01,BB062-25,BB062-25MGF,Tropical Treasure,Tropical,MGF,Ecuador,Active,Floral,Tropical Treasure,One Time,
T-MF-04,BB062-25,BB062-25MGF,Tropical Treasure,Tropical,MGF,Ecuador,Active,Floral,Tropical Treasure,One Time,
treasurebbmf,BB062-25,BB062-25MGF,Tropical Treasure,Tropical,MGF,Ecuador,Active,Floral,Tropical Treasure,One Time,
BB063-24,BB063-24,BB063-24MGF,Pink Paradise,Tropical,MGF,Ecuador,Active,Floral,Pink Paradise,One Time,
pinkananabbmf,BB063-24,BB063-24MGF,Pink Paradise,Tropical,MGF,Ecuador,Active,Floral,Pink Paradise,One Time,
T-MF-05,BB063-24,BB063-24MGF,Pink Paradise,Tropical,MGF,Ecuador,Active,Floral,Pink Paradise,One Time,
BB065-34,BB065-34,BB065-34ELT,Victorian Romance,Mixed,ELT,Colombia,Active,Floral,Harmony,One Time,
BB068-27,BB068-27,BB068-27ELT,Spring Day,Mixed,ELT,Colombia,Active,Floral,Spring Day,One Time,
BB071-25,BB071-25,BB071-25ELT,Fall Festival,Mixed,ELT,Colombia,Active,Floral,Fall Festival,One Time,
BB072-25,BB072-25,BB072-25ELT,Spring Time,Mixed,ELT,Colombia,Active,Floral,Spring Time,One Time,
4044230460,BB077-10,BB077-10SVG,Oriental Lily white 10st,Bunch,SVG,USA,Active,Floral,Elegant White Lilies,One Time,SUN VALLEY
BB-WHITE-ORIENTAL-LILIES,BB077-10,BB077-10SVG,Oriental Lily white 10st,Bunch,SVG,USA,Active,Floral,Elegant White Lilies,One Time,SUN VALLEY
BB077-10,BB077-10,BB077-10SVG,Oriental Lily white 10st,Bunch,SVG,USA,Active,Floral,Elegant White Lilies,One Time,SUN VALLEY
4047244218,BB078-10,BB078-10SVG,Oriental Lily Pink 10st,Bunch,SVG,USA,Active,Floral,Pretty in Pink,One Time,SUN VALLEY
4047244218,BB078-10,BB078-10SVG,Oriental Lily Pink 10st,Bunch,SVG,USA,Active,Floral,Pretty in Pink,One Time,SUN VALLEY
BB-PRETTYINPINK,BB078-10,BB078-10SVG,Oriental Lily Pink 10st,Bunch,SVG,USA,Active,Floral,Pretty in Pink,One Time,SUN VALLEY
BB078 -10,BB078-10,BB078-10SVG,Oriental Lily Pink 10st,Bunch,SVG,USA,Active,Floral,Pretty in Pink,One Time,SUN VALLEY
BB078-10,BB078-10,BB078-10SVG,Oriental Lily Pink 10st,Bunch,SVG,USA,Active,Floral,Pretty in Pink,One Time,SUN VALLEY
BB-SUMMERSUNSET,BB079-21,BB079-21ELT,Summer Sunset,Mixed,ELT,Colombia,Active,Floral,Summer Sunset,One Time,
BB080-24,BB080-24,BB080-24ELT,Pink Cupcake24st,Mixed,ELT,Colombia,Active,Floral,Pink Cupcake24st,One Time,
BB082-25,BB082-25,BB082-25ELT,Springtime Picnic,Mixed,ELT,Colombia,Active,Floral,Sweet Summer Love / Sweet love,One Time,
3624340205,BB089-24,BB089-24ELT,Royalty,Mixed,ELT,Colombia,Active,Floral,Royalty,One Time,
