Code,RetailCode,PlanType,Sku,Name,SiteName,Product Type,VendorCode,priceCode,Price,Year,Month,retail,Country,Status
BB015-24ELTFL,BB015-24FL,NonSuscription,BB015-24,Rainbow Fields,Rainbow Fields,Bunch,ELT,FL,$6.85 ,2024,,$49.99 ,Colombia,
BB015-24ELTCM,BB015-24CM,NonSuscription,BB015-24,Rainbow Fields,Rainbow Fields,Bunch,ELT,CM,$6.85 ,2024,,$49.99 ,Colombia,
BB015-24ELTED,BB015-24ED,NonSuscription,BB015-24,Rainbow Fields,Rainbow Fields,Bunch,ELT,ED,$5.90 ,2024,JAN,$49.99 ,Colombia,
BB015-24ELTVD,BB015-24VD,NonSuscription,BB015-24,Rainbow Fields,Rainbow Fields,Bunch,ELT,VD,$7.20 ,2024,JAN,$49.99 ,Colombia,
BB015-24ELTSO,BB015-24SO,NonSuscription,BB015-24,Rainbow Fields,Rainbow Fields,Bunch,ELT,SO,$5.90 ,2024,JAN,$49.99 ,Colombia,
BB015-24ELTSO,BB015-24SO,NonSuscription,BB015-24,Rainbow Fields,Rainbow Fields,Bunch,ELT,SO,$16.70 ,2024,JAN,$49.99 ,USA,
BB015-24ELTSO,BB015-24SO,NonSuscription,BB015-24,Rainbow Fields,Rainbow Fields,Bunch,ELT,SO,$16.70 ,2023,,$49.99 ,Colombia,
BB022-25ELTFL,BB022-25FL,NonSuscription,BB022-25,Autumn Spice,Autumn Spice,Mixed,ELT,FL,$11.60 ,2023,,$59.99 ,USA,
BB062-25MGFED,BB062-25ED,NonSuscription,BB062-25,Tropical Treasure,Tropical Treasure,Tropical,MGF,ED,$9.50 ,2024,JAN,$59.99 ,Ecuador,
BB062-25MGFVD,BB062-25VD,NonSuscription,BB062-25,Tropical Treasure,Tropical Treasure,Tropical,MGF,VD,$9.50 ,2024,JAN,$59.99 ,Ecuador,
BB062-25MGFCM,BB062-25CM,NonSuscription,BB062-25,Tropical Treasure,Tropical Treasure,Tropical,MGF,CM,$9.50 ,2024,JAN,$59.99 ,Ecuador,
BB062-25MGFMD,BB062-25MD,NonSuscription,BB062-25,Tropical Treasure,Tropical Treasure,Tropical,MGF,MD,$9.50 ,2024,JAN,$59.99 ,Ecuador,
BB063-24MGFED,BB063-24ED,NonSuscription,BB063-24,Pink Paradise,Pink Paradise,Tropical,MGF,ED,$12.40 ,2024,JAN,$64.99 ,Ecuador,
BB063-24MGFCM,BB063-24CM,NonSuscription,BB063-24,Pink Paradise,Pink Paradise,Tropical,MGF,CM,$12.40 ,2024,JAN,$64.99 ,Ecuador,
BB063-24MGFVD,BB063-24VD,NonSuscription,BB063-24,Pink Paradise,Pink Paradise,Tropical,MGF,VD,$12.40 ,2024,JAN,$64.99 ,Ecuador,
BB063-24MGFMD,BB063-24MD,NonSuscription,BB063-24,Pink Paradise,Pink Paradise,Tropical,MGF,MD,$12.40 ,2024,JAN,$64.99 ,Ecuador,
BB077-10SVGED,BB077-10ED,NonSuscription,BB077-10,Oriental Lily white 10st,Elegant White Lilies,Bunch,SVG,ED,$17.50 ,2024,JAN,$69.99 ,USA,Active
BB077-10SVGCM,BB077-10CM,NonSuscription,BB077-10,Oriental Lily white 10st,Elegant White Lilies,Bunch,SVG,CM,$17.50 ,2024,JAN,$69.99 ,USA,Active
BB077-10SVGVD,BB077-10VD,NonSuscription,BB077-10,Oriental Lily white 10st,Elegant White Lilies,Bunch,SVG,VD,$17.50 ,2024,JAN,$69.99 ,USA,Active
BB077-10SVGMD,BB077-10MD,NonSuscription,BB077-10,Oriental Lily white 10st,Elegant White Lilies,Bunch,SVG,MD,$17.50 ,2024,JAN,$69.99 ,USA,Active
BB078-10SVGED,BB078-10ED,NonSuscription,BB078-10,Oriental Lily Pink 10st,Pretty in Pink,Bunch,SVG,ED,$17.50 ,2024,JAN,$69.99 ,USA,Active
BB078-10SVGCM,BB078-10CM,NonSuscription,BB078-10,Oriental Lily Pink 10st,Pretty in Pink,Bunch,SVG,CM,$17.50 ,2024,JAN,$69.99 ,USA,Active
BB078-10SVGVD,BB078-10VD,NonSuscription,BB078-10,Oriental Lily Pink 10st,Pretty in Pink,Bunch,SVG,VD,$17.50 ,2024,JAN,$69.99 ,USA,Active
BB078-10SVGMD,BB078-10MD,NonSuscription,BB078-10,Oriental Lily Pink 10st,Pretty in Pink,Bunch,SVG,MD,$17.50 ,2024,JAN,$69.99 ,USA,Active
BB089-24ELTMD,BB089-24MD,NonSuscription,BB089-24,Royalty,Royalty,Mixed,ELT,MD,$10.20 ,2024,,$64.99 ,Colombia,
