SKU,SkuName,Product Type,site Name,skutype,Code,Recipe,Stems,Box fit,status,Create date,Season,skutype,Plant Type,Vendor,VendorType
Bloomsy Deluxe,Bloomsy Deluxe,Mixed,Bloomsy Deluxe,Evergreen,E,MULT,MULT,,Active,no match,,Perishable,Suscription,MULT,Floral
BB013-21,Summer Breeze,Mixed,Summer Breeze,Evergreen,E,BB013-21,21,Small,Active,no match,,Perishable,One Time,ELT,Floral
BB014-22,Winter Embrace,Mixed,Winter Embrace,Evergreen,E,MULT,MULT,,Inactive,no match,,Perishable,One Time,MULT,Floral
BB015-24,Rainbow Fields,Bunch,Rainbow Fields,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=188606121,24,Small,Active,no match,,Perishable,One Time,ELT,Floral
BB022-25,Autumn Spice,Mixed,Autumn Spice,Seasonal,S,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=507202019,25,Small,Inactive,no match,,Perishable,One Time,ELT,Floral
BB023-22,Summer Sunshine,Mixed,Summer Sunshine,Evergreen,E,not found,22,,Inactive,no match,,Perishable,One Time,ELT,Floral
BB055-24,Hiroshima,Mixed,Hiroshima,Evergreen,E,MULT,MULT,,Active,no match,,Perishable,One Time,MULT,Floral
BB062-25,Tropical Treasure,Tropical,Tropical Treasure,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1968991462,25,Small,Active,no match,,Perishable,One Time,MGF,Floral
BB063-24,Pink Paradise,Tropical,Pink Paradise,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1819901115,24,Small,Active,no match,,Perishable,One Time,MGF,Floral
BB065-34,Victorian Romance,Mixed,Harmony,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=669728531,34,Large,Active,no match,,Perishable,One Time,ELT,Floral
