day,financial_status,order_name,customer_id,customer_type,variant_sku,product_price,shipping_region,shipping_postal_code,customer_cohort_week,customer_cohort_month,units_per_transaction
3/7/2024,paid,#880504,6.98E+12,Returning,,0,North Carolina,28025,2023-W44,2023-11,0
3/7/2024,refunded,#880251,7.23E+12,Returning,,0,North Carolina,27540,2024-W06,2024-02,0
3/7/2024,refunded,#880251,7.23E+12,Returning,SQ9178530,59.99,North Carolina,27540,2024-W06,2024-02,0
3/7/2024,refunded,#880274,6.52E+12,Returning,,0,Texas,78239,2023-W09,2023-03,0
3/7/2024,refunded,#880274,6.52E+12,Returning,SQ1726938,584.88,Texas,78239,2023-W09,2023-03,0
3/7/2024,refunded,#879935,7.30E+12,First-time,BB267-30,59.99,Louisiana,70447,2024-W10,2024-03,0
3/7/2024,refunded,#879935,7.30E+12,First-time,,0,Louisiana,70447,2024-W10,2024-03,0
3/7/2024,refunded,#880290,7.17E+12,Returning,,0,California,90292,2024-W03,2024-01,0
3/7/2024,refunded,#880290,7.17E+12,Returning,SQ8862610,79.99,California,90292,2024-W03,2024-01,0
3/7/2024,refunded,#879837,6.85E+12,Returning,BB-PLANTS,419.94,Colorado,80433,2023-W35,2023-09,0
3/7/2024,refunded,#879837,6.85E+12,Returning,,0,Colorado,80433,2023-W35,2023-09,0
3/7/2024,refunded,#880349,5.12E+12,Returning,,0,California,92007,2021-W17,2021-05,0
3/7/2024,refunded,#880349,5.12E+12,Returning,SQ8862610,239.97,California,92007,2021-W17,2021-05,1
3/7/2024,refunded,#880350,5.12E+12,Returning,,0,Oregon,97302,2021-W17,2021-05,0
3/7/2024,refunded,#880350,5.12E+12,Returning,SQ8862610,239.97,Oregon,97302,2021-W17,2021-05,1
3/7/2024,partially_refunded,#825175,7.03E+12,First-time,,0,California,91710,2023-W48,2023-11,0
3/7/2024,partially_refunded,#880234,7.30E+12,First-time,,0,North Carolina,28312,2024-W10,2024-03,0
3/7/2024,partially_refunded,#834839,2.80E+12,Returning,,0,Arizona,85251-1159,2019-W52,2019-12,0
3/7/2024,partially_refunded,#880348,7.07E+12,Returning,SQ9178530,179.97,Florida,33908,2023-W50,2023-12,1
3/7/2024,partially_refunded,#880348,7.07E+12,Returning,,0,Florida,33908,2023-W50,2023-12,0
3/7/2024,paid,#880241,5.60E+12,Returning,SQ9178530,44.99,Illinois,60442,2022-W11,2022-03,1
3/7/2024,paid,#880241,5.60E+12,Returning,,0,Illinois,60442,2022-W11,2022-03,0
3/7/2024,paid,#880551,6.39E+12,Returning,SQ8862610,0,Connecticut,6470,2022-W50,2022-12,1
3/7/2024,paid,#880551,6.39E+12,Returning,,0,Connecticut,6470,2022-W50,2022-12,0
3/7/2024,paid,#880765,7.21E+12,Returning,SQ9178530,0,California,95020,2024-W05,2024-02,1
3/7/2024,paid,#880765,7.21E+12,Returning,,0,California,95020,2024-W05,2024-02,0
3/7/2024,paid,#880347,5.49E+12,Returning,BB-PET-SAFE,49.99,California,95954,2022-W13,2022-03,1
3/7/2024,paid,#880347,5.49E+12,Returning,,0,California,95954,2022-W13,2022-03,0
3/7/2024,paid,#880498,7.22E+12,Returning,,0,Pennsylvania,16148,2024-W06,2024-02,0
